iter	Logloss
264	0.6063092264
265	0.6062691729
266	0.6062334635
267	0.6062015767
268	0.6061608501
269	0.6061317657
270	0.6061007964
271	0.6060681194
272	0.6060308174
273	0.6059972966
274	0.605968752
275	0.6059398481
276	0.6058982625
277	0.6058680536
278	0.6058397797
279	0.6058065666
280	0.6057694806
281	0.6057333064
282	0.6057027616
283	0.6056685646
284	0.6056359494
285	0.6056064769
286	0.6055724756
287	0.6055458269
288	0.6055180491
289	0.6054890493
290	0.6054546393
291	0.6054285952
292	0.6053962877
293	0.6053655223
294	0.605335253
295	0.6053087665
296	0.6052764938
297	0.6052459527
298	0.6052212566
299	0.6051945739
300	0.6051660022
301	0.6051382673
302	0.6051073652
303	0.6050778316
304	0.6050490425
305	0.6050197743
306	0.6049933708
307	0.6049619921
308	0.6049397548
309	0.6049127887
310	0.6048824502
311	0.6048569075
312	0.604831484
313	0.6047937044
314	0.6047722527
315	0.6047445817
316	0.6047165465
317	0.6046887175
318	0.6046661045
319	0.6046424473
320	0.6046158538
321	0.6045925738
322	0.6045610025
323	0.6045374933
324	0.6045148069
325	0.6044785204
326	0.6044521594
327	0.6044296059
328	0.6044111022
329	0.6043843997
330	0.6043630969
331	0.6043392875
332	0.6043163798
333	0.6042928894
334	0.6042690916
335	0.6042457358
336	0.6042229595
337	0.6041980447
338	0.6041755445
339	0.6041541027
340	0.6041306948
341	0.6041075035
342	0.6040876903
343	0.6040681163
344	0.6040493866
345	0.604027612
346	0.6039903982
347	0.6039704807
348	0.60394902
349	0.6039296051
350	0.6039097677
351	0.6038762869
352	0.6038556729
353	0.6038321461
354	0.6038097536
355	0.6037915588
356	0.6037741101
357	0.6037574555
358	0.6037411124
359	0.6037193893
360	0.6037023758
361	0.6036788978
362	0.603657761
363	0.6036406371
364	0.6036229339
365	0.6036020669
366	0.6035811192
367	0.6035597741
368	0.6035395044
369	0.603521392
370	0.6034893809
371	0.6034691869
372	0.6034494136
373	0.6034313054
374	0.603413014
375	0.6033859145
376	0.6033659029
377	0.6033502104
378	0.6033343428
379	0.6033176667
380	0.6033026649
381	0.6032844363
382	0.6032645009
383	0.6032446557
384	0.6032269747
385	0.6032062637
386	0.603191719
387	0.6031731902
388	0.6031542382
389	0.6031389815
390	0.6031212932
391	0.6031045174
392	0.6030865026
393	0.6030717695
394	0.6030577793
395	0.6030451312
396	0.6030285247
397	0.6030109438
398	0.6029944547
399	0.6029796709
400	0.6029641779
401	0.6029491221
402	0.602933683
403	0.6029189538
404	0.6029029011
405	0.6028878337
406	0.6028691101
407	0.6028527921
408	0.6028228542
409	0.60281002
410	0.6027949211
411	0.6027808723
412	0.6027645041
413	0.602748872
414	0.6027334301
415	0.6027201094
416	0.6027064778
417	0.602680444
418	0.6026691323
419	0.6026505863
420	0.6026352664
421	0.602622181
422	0.6026065871
423	0.6025923634
424	0.6025749725
425	0.6025563343
426	0.6025437662
427	0.6025205096
428	0.6025088843
429	0.6024960477
430	0.6024820315
431	0.6024689052
432	0.6024561853
433	0.6024453221
434	0.6024306614
435	0.6024022971
436	0.6023877193
437	0.6023706598
438	0.6023583389
439	0.6023422195
440	0.602331088
441	0.6023182574
442	0.6023058938
443	0.6022927328
444	0.6022791856
445	0.6022604611
446	0.6022493451
447	0.6022384002
448	0.6022259681
449	0.6022105351
450	0.6021977204
451	0.6021838108
452	0.6021669181
453	0.6021393981
454	0.602126368
455	0.6021136977
456	0.602099982
457	0.6020898594
458	0.6020779316
459	0.6020653494
460	0.6020480164
461	0.6020365726
462	0.6020256517
463	0.6020138147
464	0.6019982633
465	0.6019853587
466	0.6019739316
467	0.601956323
468	0.6019414695
469	0.6019311202
470	0.6019180297
471	0.6019081063
472	0.6018961325
473	0.6018866539
474	0.6018759273
475	0.60186535
476	0.6018557145
477	0.6018413525
478	0.6018294155
479	0.601813187
480	0.6018036188
481	0.6017938639
482	0.6017812625
483	0.6017547139
484	0.6017432678
485	0.6017313822
486	0.6017214185
487	0.6016954238
488	0.6016862349
489	0.6016779729
490	0.6016628152
491	0.6016520162
492	0.6016399256
493	0.6016296613
494	0.6016214917
495	0.6016063464
496	0.6015966223
497	0.601586718
498	0.6015749431
499	0.6015605952
